Variable,Importance
Curricular units 2nd sem (approved),0.14639138062059276
Curricular units 2nd sem (grade),0.1207658694393056
Curricular units 1st sem (approved),0.09013886498358781
Curricular units 1st sem (grade),0.07412036552937674
Tuition fees up to date,0.06533169211668059
Age at enrollment,0.04989068891963138
Curricular units 2nd sem (evaluations),0.04093465983633624
Course,0.03359699446893857
Father's occupation,0.03090653940423943
Curricular units 1st sem (evaluations),0.029934952210495743
Mother's occupation,0.028899530781012487
Curricular units 1st sem (enrolled),0.025114621418110952
Application mode,0.02356782974966224
Father's qualification,0.02281187983253169
Curricular units 2nd sem (enrolled),0.022794554758866426
Mother's qualification,0.022664100287088478
GDP,0.0210106573166576
Inflation rate,0.020541543389581477
Unemployment rate,0.020155599052584985
Debtor,0.01975908626078239
Scholarship holder,0.013976501682025544
Application order,0.013717150075805297
Gender,0.012276950351428652
Displaced,0.008396711148546359
Previous qualification,0.0070711292226011396
Curricular units 1st sem (credited),0.0068574049014778525
Curricular units 2nd sem (credited),0.005810373493561975
Curricular units 1st sem (without evaluations),0.004887381451834627
Curricular units 2nd sem (without evaluations),0.004680574921971047
Marital status,0.0037983709523114577
Daytime/evening attendance,0.0031059922743731628
Nacionality,0.0027209805221212577
Educational special needs,0.001741515841551339
International,0.0016275527843266696
